"Month","Species","TA","SEAc"
"Jun","Onki",7.25550823495007,1.89836667431823
"Jun","Onmy",11.1886970521499,2.20110310721277
"Jul","Onki",6.92618512659988,2.3620721467465
"Jul","Onmy",7.69194783594992,1.77554391231265
"Aug","Onki",1.33490352825004,1.65542607816712
"Aug","Onmy",8.23466833505006,1.45948087812207
"Sep","Onki",5.28099731204975,2.43731837764264
"Sep","Onmy",11.7047945394499,2.96962113064886
"Oct","Onki",3.56830304785001,1.91039576901263
"Oct","Onmy",15.99357419955,3.38639035449121
"Nov","Onki",5.41336591659979,2.37476254412108
"Nov","Onmy",11.7338648580501,2.63204209850611
"Dec","Onki",2.5298983928501,1.86244313634886
"Dec","Onmy",14.7727757201501,2.73476874679311
"Overall","Onki",25.8235213290998,5.79595115651089
"Overall","Onmy",39.1288966505501,6.28697993895422
