"Month","Salmonid species","N","Mean","SD","Mean","SD","C-Range","Mean","SD","N-Range"
"Jun","Onki",36,144.5,8.3,-20.6,1.2,5,12,0.6,2.7
"Jun","Onmy",56,155.6,21.2,-21.3,1.4,7,11.8,0.6,3.2
"Jul","Onki",24,152.5,15.3,-22.2,1,4.1,12.7,0.7,3
"Jul","Onmy",38,176.5,34.3,-22.5,1.3,5.4,12.2,0.6,3
"Aug","Onki",5,161.6,8.4,-22.8,0.9,2.2,13.3,0.5,1.1
"Aug","Onmy",47,178.6,20.7,-23.5,0.9,4.6,12.3,0.6,3.2
"Sep","Onki",14,163.1,8.3,-24.7,1.5,4.7,12.9,0.6,2.2
"Sep","Onmy",58,169,37.4,-26.2,1.9,7.6,10.6,0.9,3.8
"Oct","Onki",14,159.9,14,-24.8,1.3,5,12.6,0.5,1.7
"Oct","Onmy",62,170.5,41.2,-27,1.7,6.8,10.6,0.8,3.7
"Nov","Onki",15,167,9.8,-27.2,1.6,5.6,12.3,0.5,2.1
"Nov","Onmy",56,187,40.7,-27.7,1.7,7,11.1,0.6,3
"Dec","Onki",7,177.3,6.8,-24.4,2.1,5.5,13.3,0.3,0.8
"Dec","Onmy",62,205.8,39,-25.5,2.1,9.1,12.2,0.7,3.9
